review_id,bank_id,review_text,rating,review_date,sentiment_label_vader,sentiment_score_vader,sentiment_label_distilbert,sentiment_score_distilbert,themes,primary_theme,source,created_at,bank_name,bank_code
11,2,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,POSITIVE,0.9848,POSITIVE,0.8252,"['Feature Requests', 'Security & Privacy']",Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
12,2,when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,POSITIVE,0.34,NEGATIVE,0.9953,"['Transaction Performance', 'Security & Privacy']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
13,2,fast and simple,5,2025-11-11,NEUTRAL,0.0,POSITIVE,0.9997,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
14,2,best of best,5,2025-11-10,POSITIVE,0.8555,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
15,2,Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,NEGATIVE,0.5994,NEGATIVE,0.9994,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
16,2,good,4,2025-11-10,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
17,2,"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,POSITIVE,0.4166,NEGATIVE,0.9947,"['Technical Issues', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
18,2,Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,POSITIVE,0.4404,NEGATIVE,0.8849,"['Transaction Performance', 'User Interface & Experience', 'Customer Support']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
19,2,best app,5,2025-11-08,POSITIVE,0.6369,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
20,2,Best app,5,2025-11-07,POSITIVE,0.6369,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
21,2,"Barely works, it always fails to connect",1,2025-11-07,NEGATIVE,0.4215,NEGATIVE,0.9998,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
22,2,my fav app,5,2025-11-07,POSITIVE,0.4588,POSITIVE,0.9847,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
23,2,this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,NEUTRAL,0.0,NEGATIVE,0.9978,"['Technical Issues', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
24,2,very nice,5,2025-11-04,POSITIVE,0.4754,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
25,2,"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,POSITIVE,0.102,NEGATIVE,0.9986,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
26,2,I like,5,2025-11-02,POSITIVE,0.3612,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
27,2,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,POSITIVE,0.4969,NEGATIVE,0.9083,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
28,2,"the worst app ever,",1,2025-10-30,NEGATIVE,0.6249,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
29,2,better,5,2025-10-29,POSITIVE,0.4404,POSITIVE,0.9993,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
30,2,"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,NEUTRAL,0.0258,NEGATIVE,0.9993,"['Technical Issues', 'Transaction Performance', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
31,2,this app can't open? what is problem? please solve my problem?,1,2025-10-28,NEGATIVE,0.4291,NEGATIVE,0.9996,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
32,2,kiyaa makonn,5,2025-10-27,NEUTRAL,0.0,POSITIVE,0.7176,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
33,2,very very lazy app,1,2025-10-26,NEGATIVE,0.4716,NEGATIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
34,2,telebirr remittance,5,2025-10-24,NEUTRAL,0.0,NEGATIVE,0.98,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
35,2,The best bank in 🇪🇹,5,2025-10-23,POSITIVE,0.6369,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
36,2,its good,5,2025-10-22,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
37,2,the worst app in my financial experience.,1,2025-10-22,NEGATIVE,0.6249,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
38,2,good for mb appliciation,5,2025-10-21,POSITIVE,0.4404,POSITIVE,0.9943,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
39,2,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,NEGATIVE,0.9107,NEGATIVE,0.9998,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
40,2,try to easy network,4,2025-10-17,POSITIVE,0.4404,NEGATIVE,0.9987,['User Interface & Experience'],User Interface & Experience,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
41,2,hussen hassen umer,5,2025-10-16,NEUTRAL,0.0,POSITIVE,0.8681,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
42,2,"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,POSITIVE,0.4404,NEGATIVE,0.9988,"['User Interface & Experience', 'Transaction Performance']",User Interface & Experience,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
43,2,an exceptional banking app.,5,2025-10-16,NEUTRAL,0.0,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
44,2,alhamdulilah,5,2025-10-11,NEUTRAL,0.0,POSITIVE,0.8558,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
45,2,poor,5,2025-10-11,NEGATIVE,0.4767,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
46,2,Best of best,5,2025-10-09,POSITIVE,0.8555,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
47,2,from the last week updates the app is not working Please check the problems,1,2025-10-08,NEGATIVE,0.5664,NEGATIVE,0.9997,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
48,2,It's always crushing,1,2025-10-08,NEGATIVE,0.3612,NEGATIVE,0.9994,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
49,2,office branches have to improve their services please,4,2025-10-07,POSITIVE,0.6369,POSITIVE,0.665,"['Customer Support', 'Feature Requests']",Customer Support,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
50,2,Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,POSITIVE,0.4404,NEGATIVE,0.9988,"['Technical Issues', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
51,2,it needs a timely update,5,2025-10-03,NEUTRAL,0.0,NEGATIVE,0.9983,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
52,2,"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,NEGATIVE,0.6794,NEGATIVE,0.9997,"['Account Access Issues', 'Transaction Performance', 'User Interface & Experience']",Account Access Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
53,2,Like,5,2025-10-01,POSITIVE,0.3612,POSITIVE,0.9911,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
54,2,I can't type my otp on it.,1,2025-10-01,NEUTRAL,0.0,NEGATIVE,0.9991,['Security & Privacy'],Security & Privacy,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
55,2,"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,POSITIVE,0.1757,NEGATIVE,0.9977,"['Technical Issues', 'Account Access Issues', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
56,2,jaajja,4,2025-09-30,NEUTRAL,0.0,NEGATIVE,0.9873,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
57,2,I love this bank the best experience ever.,5,2025-09-28,POSITIVE,0.8555,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
58,2,"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,NEGATIVE,0.5667,NEGATIVE,0.9997,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
59,2,easy and fast,5,2025-09-24,POSITIVE,0.4404,POSITIVE,0.9996,"['Transaction Performance', 'User Interface & Experience']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
60,2,Great,5,2025-09-20,POSITIVE,0.6249,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
61,2,mobile banking,5,2025-09-19,NEUTRAL,0.0,POSITIVE,0.9077,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
62,2,"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,NEUTRAL,0.0,NEGATIVE,0.9919,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
63,2,On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,POSITIVE,0.5656,NEGATIVE,0.9964,"['Transaction Performance', 'Technical Issues']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
64,2,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,NEUTRAL,0.0,NEGATIVE,0.9995,"['Transaction Performance', 'Technical Issues']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
65,2,none,5,2025-09-14,NEUTRAL,0.0,NEGATIVE,0.9853,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
66,2,good,2,2025-09-13,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
67,2,good,5,2025-09-12,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
68,2,very good app i ever used,5,2025-09-12,POSITIVE,0.4927,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
69,2,its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,POSITIVE,0.8271,NEGATIVE,0.998,"['Transaction Performance', 'Security & Privacy']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
70,2,zedo,5,2025-09-11,NEUTRAL,0.0,POSITIVE,0.994,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
71,2,please open my mobile app,5,2025-09-10,POSITIVE,0.3182,POSITIVE,0.9873,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
72,2,it doesn't open,1,2025-09-10,NEUTRAL,0.0,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
73,2,Very Good,5,2025-09-09,POSITIVE,0.4927,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
74,2,masha alla,5,2025-09-08,NEUTRAL,0.0,NEGATIVE,0.9515,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
75,2,Best banking transaction application in Ethiopia !,5,2025-09-05,POSITIVE,0.6696,POSITIVE,0.9997,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
76,2,tamaam kamal,1,2025-09-04,NEUTRAL,0.0,POSITIVE,0.9919,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
77,2,great 👍,5,2025-09-02,POSITIVE,0.6249,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
78,2,goof,4,2025-09-01,NEUTRAL,0.0,NEGATIVE,0.9975,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
79,2,absiniya banki,5,2025-08-29,NEUTRAL,0.0,NEGATIVE,0.9083,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
80,2,has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,NEUTRAL,0.0,NEGATIVE,0.9997,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
81,2,One of the best in this business,5,2025-08-25,POSITIVE,0.6369,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
82,2,Excellent,5,2025-08-20,POSITIVE,0.5719,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
83,2,besat🥰,5,2025-08-19,POSITIVE,0.8074,NEGATIVE,0.6971,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
84,2,unlimited experience,5,2025-08-18,NEUTRAL,0.0,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
85,2,"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,POSITIVE,0.7261,NEGATIVE,0.9991,"['Feature Requests', 'Account Access Issues', 'Transaction Performance', 'Technical Issues', 'Security & Privacy']",Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
86,2,very nice mobile banking app my favourite,5,2025-08-16,POSITIVE,0.4754,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
87,2,"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,NEUTRAL,0.0,NEGATIVE,0.9978,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
88,2,best apps,5,2025-08-15,POSITIVE,0.6369,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
89,2,the worst app ever to exist in a bank history,1,2025-08-15,NEGATIVE,0.6249,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
90,2,thank you,5,2025-08-14,POSITIVE,0.3612,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
91,2,Best mobile app in the country,5,2025-08-14,POSITIVE,0.6369,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
92,2,not fast,2,2025-08-12,NEUTRAL,0.0,NEGATIVE,0.995,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
93,2,keeps freezing at the front page.,1,2025-08-10,NEGATIVE,0.1027,NEGATIVE,0.9948,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
94,2,it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,POSITIVE,0.0772,NEGATIVE,0.9997,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
95,2,abseniya bank app,5,2025-08-08,NEUTRAL,0.0,NEGATIVE,0.6962,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
96,2,yes goode app,5,2025-08-03,POSITIVE,0.4019,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
97,2,Great App,5,2025-08-02,POSITIVE,0.6249,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
98,2,1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,NEGATIVE,0.7521,NEGATIVE,0.9997,"['Technical Issues', 'Account Access Issues', 'Transaction Performance', 'User Interface & Experience', 'Feature Requests']",Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
99,2,The Worst Mobile Banking App.,1,2025-07-31,NEGATIVE,0.6249,NEGATIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
100,2,giod,5,2025-07-30,NEUTRAL,0.0,POSITIVE,0.9894,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
101,2,best bank in ethiopia,5,2025-07-29,POSITIVE,0.6369,POSITIVE,0.9997,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
102,2,waqayyoo,5,2025-07-28,NEUTRAL,0.0,POSITIVE,0.5037,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
103,2,please is not working,2,2025-07-27,POSITIVE,0.3182,NEGATIVE,0.9998,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
104,2,nothing when I need to install the Apk it say that re-up date,5,2025-07-25,NEUTRAL,0.0,NEGATIVE,0.9986,['Feature Requests'],Feature Requests,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
105,2,I can log in from any where,5,2025-07-23,NEUTRAL,0.0,NEGATIVE,0.9498,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
106,2,no proplem,5,2025-07-20,NEGATIVE,0.296,NEGATIVE,0.9912,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
107,2,excellent app,5,2025-07-18,POSITIVE,0.5719,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
108,2,good work,5,2025-07-15,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
109,2,excellent,5,2025-07-14,POSITIVE,0.5719,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
110,2,Great BoA,5,2025-07-14,POSITIVE,0.6249,POSITIVE,0.9993,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
111,2,Good,5,2025-07-14,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
112,2,Okay,4,2025-07-13,POSITIVE,0.2263,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
113,2,not working,1,2025-07-12,NEUTRAL,0.0,NEGATIVE,0.9998,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
114,2,This App is Getting worse and worse with every update,2,2025-07-11,NEGATIVE,0.7351,NEGATIVE,0.9996,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
115,2,nice,5,2025-07-10,POSITIVE,0.4215,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
116,2,meku,5,2025-07-07,NEUTRAL,0.0,POSITIVE,0.9422,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
117,2,nice,4,2025-07-04,POSITIVE,0.4215,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
118,2,awasome app go a head,5,2025-07-04,NEUTRAL,0.0,NEGATIVE,0.9981,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
119,2,it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,NEGATIVE,0.7964,NEGATIVE,0.9994,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
120,2,"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,NEGATIVE,0.3506,NEGATIVE,0.9973,"['User Interface & Experience', 'Technical Issues']",User Interface & Experience,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
121,2,Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,NEGATIVE,0.1415,NEGATIVE,0.9851,"['Transaction Performance', 'User Interface & Experience', 'Technical Issues']",Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
122,2,wow,5,2025-07-01,POSITIVE,0.5859,POSITIVE,0.9996,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
123,2,"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,NEGATIVE,0.8126,NEGATIVE,0.9997,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
124,2,amazing Banks App👌👌,3,2025-06-25,POSITIVE,0.9439,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
125,2,goof,5,2025-06-25,NEUTRAL,0.0,NEGATIVE,0.9975,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
126,2,good App fore me,5,2025-06-25,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
127,2,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,NEUTRAL,0.0,NEGATIVE,0.9995,['Technical Issues'],Technical Issues,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
128,2,fantastic,5,2025-06-22,POSITIVE,0.5574,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
129,2,it's nice to use.,5,2025-06-21,POSITIVE,0.4215,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
130,2,app doesn't start,1,2025-06-21,NEUTRAL,0.0,NEGATIVE,0.9974,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
131,2,Excellent application,5,2025-06-18,POSITIVE,0.5719,POSITIVE,0.9999,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
132,2,its very bad app its very slow,1,2025-06-17,NEGATIVE,0.5849,NEGATIVE,0.9998,['Transaction Performance'],Transaction Performance,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
133,2,good,1,2025-06-15,POSITIVE,0.4404,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
134,2,Good job!,5,2025-06-13,POSITIVE,0.4926,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
135,2,best financial app.,5,2025-06-12,POSITIVE,0.6369,POSITIVE,0.9998,[],Other,Google Play,2025-11-27 17:37:39.312210,Bank of Abyssinia,BOA
